 7.943282e+02  2.010673e+01  7.943282e+02 -2.082640e+00 
 8.128305e+02  2.024600e+01  8.128305e+02 -2.094909e+00 
 8.317638e+02  2.038325e+01  8.317638e+02 -2.107233e+00 
 8.511380e+02  2.051843e+01  8.511380e+02 -2.119609e+00 
 8.709636e+02  2.065153e+01  8.709636e+02 -2.132033e+00 
 8.912509e+02  2.078251e+01  8.912509e+02 -2.144500e+00 
 9.120108e+02  2.091134e+01  9.120108e+02 -2.157008e+00 
 9.332543e+02  2.103800e+01  9.332543e+02 -2.169552e+00 
 9.549926e+02  2.116247e+01  9.549926e+02 -2.182127e+00 
 9.772372e+02  2.128472e+01  9.772372e+02 -2.194730e+00 
 1.000000e+03  2.140473e+01  1.000000e+03 -2.207354e+00 
 1.023293e+03  2.152248e+01  1.023293e+03 -2.219997e+00 
 1.047129e+03  2.163797e+01  1.047129e+03 -2.232651e+00 
 1.071519e+03  2.175116e+01  1.071519e+03 -2.245313e+00 
 1.096478e+03  2.186206e+01  1.096478e+03 -2.257978e+00 
 1.122018e+03  2.197065e+01  1.122018e+03 -2.270639e+00 
 1.148154e+03  2.207693e+01  1.148154e+03 -2.283291e+00 
 1.174898e+03  2.218089e+01  1.174898e+03 -2.295930e+00 
 1.202264e+03  2.228252e+01  1.202264e+03 -2.308549e+00 
 1.230269e+03  2.238183e+01  1.230269e+03 -2.321143e+00 
 1.258925e+03  2.247882e+01  1.258925e+03 -2.333706e+00 
 1.288250e+03  2.257349e+01  1.288250e+03 -2.346234e+00 
 1.318257e+03  2.266585e+01  1.318257e+03 -2.358719e+00 
 1.348963e+03  2.275591e+01  1.348963e+03 -2.371158e+00 
 1.380384e+03  2.284369e+01  1.380384e+03 -2.383544e+00 
 1.412538e+03  2.292919e+01  1.412538e+03 -2.395873e+00 
 1.445440e+03  2.301243e+01  1.445440e+03 -2.408138e+00 
 1.479108e+03  2.309342e+01  1.479108e+03 -2.420335e+00 
 1.513561e+03  2.317220e+01  1.513561e+03 -2.432458e+00 
 1.548817e+03  2.324878e+01  1.548817e+03 -2.444504e+00 
 1.584893e+03  2.332319e+01  1.584893e+03 -2.456466e+00 
 1.621810e+03  2.339545e+01  1.621810e+03 -2.468340e+00 
 1.659587e+03  2.346559e+01  1.659587e+03 -2.480122e+00 
 1.698244e+03  2.353364e+01  1.698244e+03 -2.491807e+00 
 1.737801e+03  2.359963e+01  1.737801e+03 -2.503392e+00 
 1.778279e+03  2.366360e+01  1.778279e+03 -2.514872e+00 
 1.819701e+03  2.372557e+01  1.819701e+03 -2.526243e+00 
 1.862087e+03  2.378559e+01  1.862087e+03 -2.537502e+00 
 1.905461e+03  2.384368e+01  1.905461e+03 -2.548645e+00 
 1.949845e+03  2.389989e+01  1.949845e+03 -2.559669e+00 
 1.995262e+03  2.395425e+01  1.995262e+03 -2.570572e+00 
 2.041738e+03  2.400681e+01  2.041738e+03 -2.581350e+00 
 2.089296e+03  2.405759e+01  2.089296e+03 -2.592001e+00 
 2.137962e+03  2.410665e+01  2.137962e+03 -2.602522e+00 
 2.187762e+03  2.415402e+01  2.187762e+03 -2.612911e+00 
 2.238721e+03  2.419974e+01  2.238721e+03 -2.623167e+00 
 2.290868e+03  2.424386e+01  2.290868e+03 -2.633287e+00 
 2.344229e+03  2.428641e+01  2.344229e+03 -2.643270e+00 
 2.398833e+03  2.432744e+01  2.398833e+03 -2.653114e+00 
 2.454709e+03  2.436698e+01  2.454709e+03 -2.662819e+00 
 2.511886e+03  2.440508e+01  2.511886e+03 -2.672383e+00 
 2.570396e+03  2.444178e+01  2.570396e+03 -2.681806e+00 
 2.630268e+03  2.447712e+01  2.630268e+03 -2.691086e+00 
 2.691535e+03  2.451113e+01  2.691535e+03 -2.700224e+00 
 2.754229e+03  2.454387e+01  2.754229e+03 -2.709219e+00 
 2.818383e+03  2.457536e+01  2.818383e+03 -2.718071e+00 
 2.884032e+03  2.460565e+01  2.884032e+03 -2.726779e+00 
 2.951209e+03  2.463477e+01  2.951209e+03 -2.735345e+00 
 3.019952e+03  2.466276e+01  3.019952e+03 -2.743768e+00 
 3.090295e+03  2.468966e+01  3.090295e+03 -2.752048e+00 
 3.162278e+03  2.471551e+01  3.162278e+03 -2.760187e+00 
 3.235937e+03  2.474034e+01  3.235937e+03 -2.768185e+00 
 3.311311e+03  2.476418e+01  3.311311e+03 -2.776042e+00 
 3.388442e+03  2.478707e+01  3.388442e+03 -2.783759e+00 
 3.467369e+03  2.480905e+01  3.467369e+03 -2.791338e+00 
 3.548134e+03  2.483014e+01  3.548134e+03 -2.798779e+00 
 3.630781e+03  2.485037e+01  3.630781e+03 -2.806084e+00 
 3.715352e+03  2.486978e+01  3.715352e+03 -2.813254e+00 
 3.801894e+03  2.488840e+01  3.801894e+03 -2.820289e+00 
 3.890451e+03  2.490626e+01  3.890451e+03 -2.827192e+00 
 3.981072e+03  2.492338e+01  3.981072e+03 -2.833964e+00 
 4.073803e+03  2.493979e+01  4.073803e+03 -2.840606e+00 
 4.168694e+03  2.495553e+01  4.168694e+03 -2.847119e+00 
 4.265795e+03  2.497061e+01  4.265795e+03 -2.853506e+00 
 4.365158e+03  2.498505e+01  4.365158e+03 -2.859768e+00 
 4.466836e+03  2.499890e+01  4.466836e+03 -2.865906e+00 
 4.570882e+03  2.501216e+01  4.570882e+03 -2.871923e+00 
 4.677351e+03  2.502486e+01  4.677351e+03 -2.877819e+00 
 4.786301e+03  2.503702e+01  4.786301e+03 -2.883597e+00 
 4.897788e+03  2.504867e+01  4.897788e+03 -2.889258e+00 
 5.011872e+03  2.505982e+01  5.011872e+03 -2.894804e+00 
 5.128614e+03  2.507050e+01  5.128614e+03 -2.900237e+00 
 5.248075e+03  2.508072e+01  5.248075e+03 -2.905559e+00 
 5.370318e+03  2.509051e+01  5.370318e+03 -2.910771e+00 
 5.495409e+03  2.509987e+01  5.495409e+03 -2.915875e+00 
 5.623413e+03  2.510883e+01  5.623413e+03 -2.920873e+00 
 5.754399e+03  2.511741e+01  5.754399e+03 -2.925767e+00 
 5.888437e+03  2.512561e+01  5.888437e+03 -2.930558e+00 
 6.025596e+03  2.513347e+01  6.025596e+03 -2.935249e+00 
 6.165950e+03  2.514098e+01  6.165950e+03 -2.939841e+00 
 6.309573e+03  2.514816e+01  6.309573e+03 -2.944335e+00 
 6.456542e+03  2.515503e+01  6.456542e+03 -2.948734e+00 
 6.606934e+03  2.516161e+01  6.606934e+03 -2.953040e+00 
 6.760830e+03  2.516789e+01  6.760830e+03 -2.957253e+00 
 6.918310e+03  2.517390e+01  6.918310e+03 -2.961377e+00 
 7.079458e+03  2.517965e+01  7.079458e+03 -2.965412e+00 
 7.244360e+03  2.518515e+01  7.244360e+03 -2.969360e+00 
 7.413102e+03  2.519041e+01  7.413102e+03 -2.973223e+00 
 7.585776e+03  2.519543e+01  7.585776e+03 -2.977002e+00 
 7.762471e+03  2.520024e+01  7.762471e+03 -2.980699e+00 
 7.943282e+03  2.520483e+01  7.943282e+03 -2.984317e+00 
 8.128305e+03  2.520922e+01  8.128305e+03 -2.987855e+00 
 8.317638e+03  2.521342e+01  8.317638e+03 -2.991317e+00 
 8.511380e+03  2.521743e+01  8.511380e+03 -2.994702e+00 
